ESP_V (kV),V1,V2,run,R,Dp1,Dp2,Mobility (m2/s/V)
11.0,1802,4500,5,133.746419,49.844984,231.8037626546014,9.4191458e-08
11.0,1951,4500,5,74.124005,52.045355,231.8037626546014,8.6964523e-08
11.0,2101,4500,5,45.696371,54.172056,231.8037626546014,8.076755e-08
11.0,2251,4500,5,38.596781,56.237026,231.8037626546014,7.5395006e-08
11.0,2401,4500,5,28.876093,58.246453,231.8037626546014,7.0692631e-08
11.0,2550,4500,5,25.910314,60.205577,231.8037626546014,6.6542392e-08
11.0,2700,4500,5,25.274903,62.118885,231.8037626546014,6.2852437e-08
11.0,2850,4500,5,20.142534,63.984939,231.8037626546014,5.9550217e-08
11.0,3000,4500,5,16.805715,65.816925,231.8037626546014,5.6577669e-08
11.0,5,1500,5,1.984944,2.447685,116.66360703955151,3.3946601e-05
11.0,154,1500,5,2.081496,13.852126,116.66360703955151,1.096821e-06
11.0,304,1500,5,2.031277,19.59787,116.66360703955151,5.57415458e-07
11.0,454,1500,5,2.203282,24.094931,116.66360703955151,3.73655492e-07
11.0,604,1500,5,5.576039,27.9457,116.66360703955151,2.81014912e-07
11.0,753,1500,5,121.66385,31.377293,116.66360703955151,2.25184752e-07
11.0,903,1500,5,226.842845,34.509366,116.66360703955151,1.87861657e-07
11.0,1053,1500,5,275.466852,37.423201,116.66360703955151,1.6115168e-07
11.0,1203,1500,5,300.111103,40.156354,116.66360703955151,1.41091444e-07
11.0,1352,1500,5,235.053229,42.744274,116.66360703955151,1.25472561e-07
11.0,1502,1500,5,137.083955,45.211133,116.66360703955151,1.1296706e-07
11.0,1652,1500,5,85.764477,47.574886,116.66360703955151,1.02728405e-07
11.0,1802,1500,5,61.785119,49.844984,116.66360703955151,9.4191458e-08
11.0,1951,1500,5,38.875224,52.045355,116.66360703955151,8.6964523e-08
11.0,2101,1500,5,25.517308,54.172056,116.66360703955151,8.076755e-08
11.0,2251,1500,5,18.714498,56.237026,116.66360703955151,7.5395006e-08
11.0,2401,1500,5,12.63553,58.246453,116.66360703955151,7.0692631e-08
11.0,2550,1500,5,9.306811,60.205577,116.66360703955151,6.6542392e-08
11.0,2700,1500,5,7.439577,62.118885,116.66360703955151,6.2852437e-08
11.0,2850,1500,5,7.278512,63.984939,116.66360703955151,5.9550217e-08
11.0,3000,1500,5,8.52189,65.816925,116.66360703955151,5.6577669e-08
11.0,5,1000,6,1.505176,2.447685,92.41959010208343,3.3946601e-05
11.0,154,1000,6,1.490324,13.852126,92.41959010208343,1.096821e-06
11.0,304,1000,6,1.495496,19.59787,92.41959010208343,5.57415458e-07
11.0,454,1000,6,2.96534,24.094931,92.41959010208343,3.73655492e-07
11.0,604,1000,6,123.727812,27.9457,92.41959010208343,2.81014912e-07
11.0,753,1000,6,317.344259,31.377293,92.41959010208343,2.25184752e-07
11.0,903,1000,6,432.938215,34.509366,92.41959010208343,1.87861657e-07
11.0,1053,1000,6,338.923533,37.423201,92.41959010208343,1.6115168e-07
11.0,1203,1000,6,256.567957,40.156354,92.41959010208343,1.41091444e-07
11.0,1352,1000,6,155.603226,42.744274,92.41959010208343,1.25472561e-07
11.0,1502,1000,6,97.337763,45.211133,92.41959010208343,1.1296706e-07
11.0,1652,1000,6,61.414987,47.574886,92.41959010208343,1.02728405e-07
11.0,1802,1000,6,45.017566,49.844984,92.41959010208343,9.4191458e-08
11.0,1951,1000,6,28.563627,52.045355,92.41959010208343,8.6964523e-08
11.0,2101,1000,6,18.427532,54.172056,92.41959010208343,8.076755e-08
11.0,2251,1000,6,15.828557,56.237026,92.41959010208343,7.5395006e-08
11.0,2401,1000,6,9.256417,58.246453,92.41959010208343,7.0692631e-08
11.0,2550,1000,6,6.131629,60.205577,92.41959010208343,6.6542392e-08
11.0,2700,1000,6,6.335735,62.118885,92.41959010208343,6.2852437e-08
11.0,2850,1000,6,8.563293,63.984939,92.41959010208343,5.9550217e-08
11.0,3000,1000,6,6.514158,65.816925,92.41959010208343,5.6577669e-08
11.0,5,5500,6,2.811364,2.447685,265.9795443303082,3.3946601e-05
11.0,154,5500,6,2.924634,13.852126,265.9795443303082,1.096821e-06
11.0,304,5500,6,2.849716,19.59787,265.9795443303082,5.57415458e-07
11.0,454,5500,6,5.368966,24.094931,265.9795443303082,3.73655492e-07
11.0,604,5500,6,6.048365,27.9457,265.9795443303082,2.81014912e-07
11.0,753,5500,6,12.330375,31.377293,265.9795443303082,2.25184752e-07
11.0,903,5500,6,62.612598,34.509366,265.9795443303082,1.87861657e-07
11.0,1053,5500,6,146.270994,37.423201,265.9795443303082,1.6115168e-07
11.0,1203,5500,6,244.135781,40.156354,265.9795443303082,1.41091444e-07
11.0,1352,5500,6,282.093353,42.744274,265.9795443303082,1.25472561e-07
11.0,1502,5500,6,242.707964,45.211133,265.9795443303082,1.1296706e-07
11.0,1652,5500,6,188.39722,47.574886,265.9795443303082,1.02728405e-07
11.0,1802,5500,6,103.674579,49.844984,265.9795443303082,9.4191458e-08
11.0,1951,5500,6,60.093366,52.045355,265.9795443303082,8.6964523e-08
11.0,2101,5500,6,39.96301,54.172056,265.9795443303082,8.076755e-08
11.0,2251,5500,6,33.55824,56.237026,265.9795443303082,7.5395006e-08
11.0,2401,5500,6,29.636611,58.246453,265.9795443303082,7.0692631e-08
11.0,2550,5500,6,26.953155,60.205577,265.9795443303082,6.6542392e-08
11.0,2700,5500,6,23.948433,62.118885,265.9795443303082,6.2852437e-08
